Year Published,Title,Authors ,Primary Focal Area,Secondary Focal Area(s),Journal,Link/DOI
2018,Long-distance transport of a West Atlantic stony coral on a plastic raft ,Hoeksema et al. ,Range,,Reef Encounter: The News Journal for the International Society for Reef Studies,https://www.researchgate.net/publication/333381082_Northern_star_coral_Astrangia_poculata_found_growing_on_the_spider_crab_Libinia_emarginata_in_Long_Island_Sound_USA?enrichId=rgreq-0780669e626d4a427e55f1b5963576a2-XXX&enrichSource=Y292ZXJQYWdlOzMzMzM4MTA4MjtBUzo3NjI1MzQzOTkzMjQxNjBAMTU1ODgxMzc3NjUwMw%3D%3D&el=1_x_2&_esc=publicationCoverPdf
2019,Adaptive signatures in thermal performance of the temperate coral Astrangia poculata,Aichelman et al. ,Life History,,Journal of Experimental Biology,https://doi.org/10.1242/jeb.189225
2019,Stability of temperate coral Astrangia poculata microbiome is reflected across different sequencing methodologies,Goldsmith et al. ,Microbiome,,AIMS Microbiology,10.3934/microbiol.2019.1.62
2019,"Patterns, dynamics and consequences of microplastic ingestion by the temperate coral, Astrangia poculata",Rotjan et al. ,Life History,,Proceedings of the Royal Society B,https://doi.org/10.1098/rspb.2019.0726
2019,"The relationship between fish abundance and benthic community strucuture on artificial reefs in the Mid-Atlantic Bight, and the importance of sea whip corals",Schweitzer & Stevens,Habitat,,PeerJ,https://doi.org/10.7717/peerj.7277
2020,"Adaptive divergence, neutral panmixia, and algal symbiont population structure in the temperate coral Astrangia poculata along the Mid-Atlantic United States",Aichelman & Barshis,Genomics & Transcriptomics ,,PeerJ,https://doi.org/10.7717/peerj.10201
2021,Differential Patterns of Microbiota Recovery in Symbiotic and Aposymbiotic Corals following Antibiotic Disturbance,Bent et al. ,Microbiome,,mSystems,https://doi.org/10.1128/mSystems.01086-20
2021,"Testing assumptions of nitrogen cycling between a temperate, model coral host and its facultative  symbiont: symbiotic contributions to dissolved inorganic nitrogen assimilation",DiRoberts et al.,Life History,,Marine Ecology Progress Series,https://doi.org/10.3354/meps13731
2021,"Physiological seasonality in the symbiont and host of the northern star coral, Astrangia poculata","Trumbauer, Grace, & Rodrigues",Life History,,Coral Reefs,https://doi.org/10.1007/s00338-021-02119-5
2021,Characterizing environmental stress responses of aposymbiotic Astrangia poculata to divergent thermal challenges,Wuitchik et al. ,Genomics & Transcriptomics ,,Molecular Ecology ,https://doi.org/10.1111/mec.16108
2022,Reshuffling the coral microbiome during dormancy ,Brown et al. ,Microbiome,,Applied and Environmental Microbiology,https://doi.org/10.1128/aem.01391-22
2022,"Variation in symbiot density is linked to changes in constitutive immunity in the facultatively symbiotic coral, Astrangia poculata",Changsut et al. ,Symbiosis,,Biology Letters,https://doi.org/10.1098/rsbl.2022.0273
2022,Uncovering the Effects of Symbiosis and Temperature on Coral Calcification,Dellaert et al. ,Symbiosis,Life History ,Biological Bulletin,https://doi.org/10.1086/716711
2022,Indications of symbiotic state influecing melanin-synthesis immune response in facultative coral Astrangia poculata,Harman et al. ,Symbiosis,,Diseases of Aquatic Organisms ,https://doi.org/10.3354/dao03695
2022,Seasonal variation in the bioaccumulation of potentially toxic metals in the tissues of Astrangia poculata in the northeastern United States,"Trumbauer, Grace, & Rodrigues",Life History,,Marine Pollution Bulletin,https://doi.org/10.1016/j.marpolbul.2021.113180
2023,Characterization of a sperm motility signalling pathway in a gonochoric coral suggests conservation across cnidarian sexual systems,Glass et al. ,Life History,,Proceedings of the Royal Society B,https://doi.org/10.1098/rspb.2023.0085
